as_of_date,target_date,instrument,instrument_type,component,feature,feature_value,threshold,mode,hold_days,side,target_weight,target_notional,target_shares,previous_close,previous_close_date,lower_25bps,upper_25bps,entry_date,estimated_liquidate_date,signal_date,market_hedge,sector_hedge,reason,excluded_live,exclusion_reason,market_beta,sector_beta,current_shares,current_weight,current_notional,trade_weight,trade_notional,trade_shares,rounded_target_shares,rounded_trade_shares,action,below_trade_buffer,manual_price_note
2026-06-21,2026-06-22,EMN,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-4.5,71.67,2026-06-08,71.49,71.85,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,1.3,0.4,0.0,0.0,0.0,-0.021,-321.43,-4.5,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,ERO,stock,bwt,brent_wti_carry_spread,0.0376,0.02,sign,,-1.0,-0.017,-250.0,-9.3,26.9,2026-06-08,26.83,26.97,2026-06-22,,2026-06-21,SPY,XME,continuous sign active,False,,0.5,1.0,0.0,0.0,0.0,-0.017,-250.0,-9.3,-9.0,-9.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,FRO,stock,shipping,calendar_dec_annualized_carry,-0.131305326906,0.01,fixed_hold,10,1.0,0.035,525.0,15.0,35.01,2026-06-08,34.92,35.1,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.2,0.2,0.0,0.0,0.0,0.035,525.0,15.0,15.0,15.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,FTI,stock,services,carry_chg_21d,0.3899,0.01,sign,,-1.0,-0.105,-1575.0,-22.9,68.75,2026-06-08,68.58,68.92,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,0.6,0.8,0.0,0.0,0.0,-0.105,-1575.0,-22.9,-23.0,-23.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,HUN,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-22.6,14.23,2026-06-08,14.19,14.27,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,1.7,0.6,0.0,0.0,0.0,-0.021,-321.43,-22.6,-23.0,-23.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,INSW,stock,shipping,calendar_dec_annualized_carry,-0.131305326906,0.01,fixed_hold,10,1.0,0.035,525.0,6.4,81.42,2026-06-08,81.22,81.62,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.3,0.3,0.0,0.0,0.0,0.035,525.0,6.4,6.0,6.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,LYB,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-5.0,64.43,2026-06-08,64.27,64.59,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,0.2,1.2,0.0,0.0,0.0,-0.021,-321.43,-5.0,-5.0,-5.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,MUSA,stock,fuel,front_third_spread,0.0234588106929,0.01,fixed_hold,10,1.0,0.038,562.5,1.0,551.26,2026-06-18,549.88,552.64,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,-0.4,0.0,0.0,0.0,0.0,0.038,562.5,1.0,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,NEXA,stock,bwt,brent_wti_carry_spread,0.0376,0.02,sign,,-1.0,-0.017,-250.0,-18.2,13.73,2026-06-12,13.7,13.76,2026-06-22,,2026-06-21,SPY,XME,continuous sign active,False,,0.8,0.7,0.0,0.0,0.0,-0.017,-250.0,-18.2,-18.0,-18.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,OII,stock,services,carry_chg_21d,0.3899,0.01,sign,,-1.0,-0.07,-1050.0,-26.8,39.19,2026-06-08,39.09,39.29,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,1.2,1.0,0.0,0.0,0.0,-0.07,-1050.0,-26.8,-27.0,-27.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,PSX,stock,refiner,liquid_deferred_annualized_carry_chg_21d,-0.0328989028266,0.01,fixed_hold,10,0.0,0.0,0.0,0.0,183.42,2026-06-08,182.96,183.88,,,,SPY,XLE,no active fixed-hold event,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,True,hold
2026-06-21,2026-06-22,STNG,stock,shipping,calendar_dec_annualized_carry,-0.131305326906,0.01,fixed_hold,10,1.0,0.035,525.0,6.9,76.12,2026-06-08,75.93,76.31,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.1,0.3,0.0,0.0,0.0,0.035,525.0,6.9,7.0,7.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,TECK,stock,bwt,brent_wti_carry_spread,0.0376,0.02,sign,,-1.0,-0.017,-250.0,-4.0,62.09,2026-06-08,61.93,62.25,2026-06-22,,2026-06-21,SPY,XME,continuous sign active,False,,0.9,0.7,0.0,0.0,0.0,-0.017,-250.0,-4.0,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,TNK,stock,shipping,calendar_dec_annualized_carry,-0.131305326906,0.01,fixed_hold,10,1.0,0.035,525.0,7.3,71.66,2026-06-08,71.48,71.84,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.3,0.2,0.0,0.0,0.0,0.035,525.0,7.3,7.0,7.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,WLK,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-3.8,85.26,2026-06-08,85.05,85.47,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,1.0,0.8,0.0,0.0,0.0,-0.021,-321.43,-3.8,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,SPY,hedge,hedge,,,,beta_hedge,,1.0,0.255,3827.1,5.1,746.74,2026-06-18,744.87,748.61,2026-06-22,,2026-06-21,,,explicit beta hedge,,,,,0.0,0.0,0.0,0.255,3827.1,5.1,5.0,5.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,XLE,hedge,hedge,,,,beta_hedge,,1.0,0.229,3429.74,63.8,53.77,2026-06-18,53.64,53.9,2026-06-22,,2026-06-21,,,explicit beta hedge,,,,,0.0,0.0,0.0,0.229,3429.74,63.8,64.0,64.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,XME,hedge,hedge,,,,beta_hedge,,1.0,0.025,378.71,3.2,117.02,2026-06-18,116.73,117.31,2026-06-22,,2026-06-21,,,explicit beta hedge,,,,,0.0,0.0,0.0,0.025,378.71,3.2,3.0,3.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
